,pdbid,-logKd/Ki
588,4ory,3.53
589,1vjd,3.54
590,2jbv,3.54
591,3blt,3.54
592,3bm8,3.54
593,3nf9,3.54
594,4gng,3.54
595,2ay3,3.55
596,2clf,3.55
597,2clm,3.55
598,2hwg,3.55
599,2xah,3.55
600,3pjg,3.55
601,3qvu,3.55
602,4k3m,3.55
603,4mjr,3.55
604,4n98,3.55
605,4nym,3.55
606,5av0,3.55
607,2hrm,3.56
608,2lsp,3.56
609,4joe,3.56
610,1jwm,3.57
611,2l1r,3.57
612,2rly,3.57
613,3ej5,3.57
614,4xm7,3.57
615,1vjc,3.58
616,4g19,3.58
617,4y63,3.58
618,1gww,3.59
619,2nn8,3.59
620,2pgj,3.59
621,2pgl,3.59
622,3sl1,3.59
623,4cd6,3.59
624,4k3r,3.59
625,1bo5,3.6
626,1d1p,3.6
627,1qw7,3.6
628,1uys,3.6
629,1w31,3.6
630,1zd4,3.6
631,2q6h,3.6
632,2qch,3.6
633,2wp1,3.6
634,2y68,3.6
635,3bb1,3.6
636,3kn0,3.6
637,3pke,3.6
638,3t2p,3.6
639,4meo,3.6
640,4meq,3.6
641,1g9s,3.61
642,2kff,3.61
643,2l98,3.61
644,2vfz,3.61
645,3ftu,3.61
646,4a4c,3.61
647,4ln2,3.61
648,4qp1,3.61
649,5c91,3.61
650,3pcc,3.62
651,3st6,3.62
652,3udj,3.62
653,4nrc,3.62
654,4wy3,3.62
655,4yym,3.62
656,3fuj,3.63
657,3jpx,3.63
658,4mm7,3.63
659,1j5i,3.64
660,2qwg,3.64
661,3px8,3.64
662,4bdi,3.64
663,4gui,3.64
664,1b9v,3.65
665,3vws,3.65
666,4y4v,3.65
667,1l6y,3.66
668,2rny,3.66
669,3ex6,3.66
670,3iny,3.66
671,3tsd,3.66
672,3h2m,3.67
673,4lnp,3.67
674,4mww,3.67
675,4n99,3.67
676,1qsc,3.68
677,2za3,3.68
678,4oru,3.68
679,1l2z,3.69
680,3clp,3.69
681,4gwi,3.69
682,5ai0,3.69
683,1bcj,3.7
684,1e37,3.7
685,1fwu,3.7
686,1gz3,3.7
687,1h0r,3.7
688,1i43,3.7
689,1uy6,3.7
690,1uy7,3.7
691,1uyd,3.7
692,1uye,3.7
693,1w70,3.7
694,2bjm,3.7
695,2bmz,3.7
696,3ex2,3.7
697,3ful,3.7
698,3kd7,3.7
699,3mrt,3.7
700,3zlw,3.7
701,4ayt,3.7
702,4ayx,3.7
703,4b2d,3.7
704,4l7h,3.7
705,4l7j,3.7
706,4o4k,3.7
707,4pji,3.7
708,5c6o,3.7
709,5c6p,3.7
710,3wkc,3.71
711,4k5m,3.71
712,4mjq,3.71
713,1fwv,3.72
714,1ugy,3.72
715,2h9p,3.72
716,2yde,3.72
717,3ms2,3.72
718,4jog,3.72
719,4tk1,3.72
720,4tk2,3.72
721,1b2m,3.73
722,2vta,3.73
723,3ati,3.73
724,3h91,3.73
725,3rxd,3.73
726,4y5s,3.73
727,1oh4,3.74
728,2dwx,3.74
729,2xp4,3.74
730,3kpv,3.74
731,3v30,3.74
732,4bv2,3.74
733,4pre,3.74
734,4yux,3.74
735,2iyf,3.75
736,3gep,3.75
737,4kov,3.75
738,4c6x,3.76
739,1mpl,3.77
740,2uuo,3.77
741,2xaj,3.77
742,3fum,3.77
743,3kqm,3.77
744,3s0j,3.77
745,3vi2,3.77
746,3wkd,3.77
747,4j86,3.77
748,4k8o,3.77
749,4w5a,3.77
750,3qi3,3.78
751,4dhm,3.78
752,4klv,3.78
753,4tnw,3.78
754,1wbv,3.79
755,2xtk,3.79
756,4xqb,3.79
757,1ybo,3.8
758,2ggd,3.8
759,3as3,3.8
760,3nfk,3.8
761,3q2m,3.8
762,3vv6,3.8
763,3zlx,3.8
764,5aib,3.8
765,2jup,3.81
766,2o9a,3.81
767,2ou7,3.81
768,3lce,3.81
769,4q9s,3.81
770,2gfj,3.82
771,3sgt,3.82
772,3tiz,3.82
773,3ud5,3.82
774,4egi,3.82
775,4fl3,3.82
776,4y2t,3.82
777,5d7e,3.82
778,1r0x,3.83
779,1r10,3.83
780,1yhm,3.83
781,2osf,3.83
782,4ozo,3.83
783,1bky,3.84
784,2k4i,3.84
785,3ck8,3.84
786,3ril,3.84
787,4bt9,3.84
788,4ce2,3.84
789,4d9p,3.84
790,4kv9,3.84
791,5acw,3.84
792,1n1t,3.85
793,1n1v,3.85
794,1sre,3.85
795,1vcu,3.85
796,2vhq,3.85
797,3kqo,3.85
798,4ivk,3.85
799,3rtx,3.86
800,4bnt,3.86
801,2f6y,3.87
802,2y55,3.87
803,3h03,3.87
804,4ab8,3.87
805,4ijl,3.87
806,3dda,3.88
807,4prb,3.88
808,5afk,3.88
809,1xfv,3.89
810,2x85,3.89
811,2xiz,3.89
812,3src,3.89
813,3ti1,3.89
814,3u4i,3.89
815,4dgb,3.89
816,4dhn,3.89
817,1exw,3.9
818,1slg,3.9
819,2xel,3.9
820,3wk7,3.9
821,3zj8,3.9
822,3zvw,3.9
823,4k5n,3.9
824,4kqq,3.9
825,4kqr,3.9
826,4men,3.9
827,5ai8,3.9
828,9icd,3.9
829,2oei,3.91
830,2vte,3.91
831,3l5b,3.91
832,1ahx,3.92
833,2l8r,3.92
834,2vth,3.92
835,2yim,3.92
836,3fgc,3.92
837,3gk4,3.92
838,3uih,3.92
839,3zhf,3.92
840,4i2w,3.92
841,4pd7,3.92
842,3jvk,3.93
843,3qi4,3.93
844,4dho,3.93
845,1z3t,3.94
846,3bwk,3.94
847,3pp7,3.94
848,3t0m,3.94
849,4fcm,3.94
850,4hv3,3.94
851,4k3q,3.94
852,4kva,3.94
853,4rgd,3.94
854,2lo6,3.95
855,2xvn,3.95
856,3c0z,3.95
857,3kze,3.95
858,1x9d,3.96
859,2ad5,3.96
860,2kvm,3.96
861,2l1b,3.96
862,2odd,3.96
863,2vi5,3.96
864,3h2a,3.96
865,3uxg,3.96
866,4ac3,3.96
867,4ce3,3.96
868,4joj,3.96
869,4yyn,3.96
870,4zmf,3.96
871,5c3k,3.96
872,1ai6,3.97
873,1l5q,3.97
874,2flh,3.97
875,3fu6,3.97
876,4aa2,3.97
877,4twy,3.97
878,2l7u,3.98
879,2uup,3.98
880,5c7f,3.98
881,2q8y,3.99
882,3chg,3.99
883,4edu,3.99
884,4u2y,3.99
885,1a7c,4.0
886,1a86,4.0
887,1fhr,4.0
888,1gfz,4.0
889,1kqb,4.0
890,1la3,4.0
891,1tlo,4.0
892,1utt,4.0
893,1wc6,4.0
894,1z3c,4.0
895,2bow,4.0
896,2brp,4.0
897,2c8y,4.0
898,2j9l,4.0
899,2ja3,4.0
900,2kfx,4.0
901,2kp8,4.0
902,2qcg,4.0
903,3c4e,4.0
904,3fck,4.0
905,3qzt,4.0
906,3r9h,4.0
907,3r9o,4.0
908,3rpr,4.0
909,3rzb,4.0
910,3tvl,4.0
911,4ai8,4.0
912,4ayw,4.0
913,4cfu,4.0
914,4gjb,4.0
915,4gxs,4.0
916,4l7g,4.0
917,4tuh,4.0
918,4ucd,4.0
919,4usj,4.0
920,4wym,4.0
921,4ylu,4.0
922,5a5p,4.0
923,5akk,4.0
924,1b42,4.01
925,2aoi,4.01
926,2vtl,4.01
927,3kqw,4.01
928,3s3k,4.01
929,4eym,4.01
930,5auz,4.01
931,3as1,4.02
932,3ddb,4.02
933,3ztd,4.02
934,4k8a,4.02
935,1mv0,4.03
936,2ohp,4.03
937,2rm0,4.03
938,2w0z,4.03
939,3mt7,4.03
940,3ueo,4.03
941,4kab,4.03
942,4pri,4.03
943,4wmv,4.03
944,1l7x,4.04
945,2c02,4.04
946,4nmp,4.04
947,4ps0,4.04
948,4y2v,4.04
949,1awi,4.05
950,1pwy,4.05
951,2rk7,4.05
952,3d9n,4.05
953,3isw,4.05
954,3thd,4.05
955,4xm6,4.05
956,4y32,4.05
957,2clo,4.06
958,2loz,4.06
959,3h2f,4.06
960,4fem,4.06
961,1at6,4.07
962,1gj4,4.07
963,1wax,4.07
964,2va5,4.07
965,2vtd,4.07
966,2wgi,4.07
967,2x5o,4.07
968,3avb,4.07
969,3mag,4.07
970,3mct,4.07
971,4bdb,4.07
972,4eft,4.07
973,4jok,4.07
974,1lb6,4.08
975,1n2v,4.08
976,1y2g,4.08
977,2auc,4.08
978,2d06,4.08
979,2kmx,4.08
980,3f8w,4.08
981,3r42,4.08
982,3rxo,4.08
983,4xdo,4.08
984,5a5z,4.08
985,1jn2,4.09
986,1y2b,4.09
987,2lk1,4.09
988,3chc,4.09
989,3rmf,4.09
990,4bdf,4.09
991,4c1h,4.09
992,4mji,4.09
993,4p72,4.09
994,4qkd,4.09
995,1gwm,4.1
996,1lxf,4.1
997,1rry,4.1
998,1rzx,4.1
999,2f18,4.1
1000,2qiq,4.1
1001,2qju,4.1
1002,2uw3,4.1
1003,2xuc,4.1
1004,3b78,4.1
1005,3ewz,4.1
1006,4c66,4.1
1007,4do3,4.1
1008,4k6t,4.1
1009,4p75,4.1
1010,4uyd,4.1
1011,1d6s,4.11
1012,1z3v,4.11
1013,2c1n,4.11
1014,2o9k,4.11
1015,2uw8,4.11
1016,3l5d,4.11
1017,3ncr,4.11
1018,4bdh,4.11
1019,4lh6,4.11
1020,1bsk,4.12
1021,1e55,4.12
1022,1i33,4.12
1023,1uy8,4.12
1024,3fu5,4.12
1025,3ivq,4.12
1026,3th0,4.12
1027,4aa1,4.12
1028,4bdg,4.12
1029,4mi3,4.12
1030,4whq,4.12
1031,4whr,4.12
1032,4hxj,4.13
1033,1gny,4.14
1034,3adu,4.14
1035,3sna,4.14
1036,3t4n,4.14
1037,3tvx,4.14
1038,4k6u,4.14
1039,4trw,4.14
1040,1om9,4.15
1041,2alv,4.15
1042,2mc1,4.15
1043,2toh,4.15
1044,3axk,4.15
1045,3m56,4.15
1046,3q8h,4.15
1047,3r9d,4.15
1048,3wk9,4.15
1049,4esi,4.15
1050,4o45,4.15
1051,4ok3,4.15
1052,5afm,4.15
1053,3d3x,4.16
1054,3qzv,4.16
1055,4bi1,4.16
1056,4klb,4.16
1057,1mns,4.17
1058,2pl9,4.17
1059,2vxj,4.17
1060,3d9l,4.17
1061,4azt,4.17
1062,4b9w,4.17
1063,4jof,4.17
1064,4nzb,4.17
1065,4q1s,4.17
1066,4w54,4.17
1067,1o9e,4.18
1068,2lh8,4.18
1069,3avl,4.18
1070,1at5,4.19
1071,1k3t,4.19
1072,2pmc,4.19
1073,2wl4,4.19
1074,3ayd,4.19
1075,3ds4,4.19
1076,3ee2,4.19
1077,3my5,4.19
1078,3nok,4.19
1079,3srb,4.19
1080,4j8g,4.19
1081,4yyi,4.19
1082,2x4s,4.2
1083,3b8h,4.2
1084,3hqh,4.2
1085,3rg2,4.2
1086,4wbo,4.2
1087,4x1p,4.2
1088,1ulg,4.21
1089,1yon,4.21
1090,2j83,4.21
1091,2qmj,4.21
1092,3sov,4.21
1093,3uec,4.21
1094,3wkb,4.21
1095,4pda,4.21
1096,4tw6,4.21
1097,4ucs,4.21
1098,1aze,4.22
1099,1gx0,4.22
1100,1joj,4.22
1101,2imb,4.22
1102,2kzu,4.22
1103,2l65,4.22
1104,2ltw,4.22
1105,4asy,4.22
1106,4k63,4.22
1107,4yy6,4.22
1108,1prl,4.23
1109,1prm,4.23
1110,3nii,4.23
1111,4bi0,4.23
1112,4x3h,4.23
1113,5ak4,4.23
1114,2ksp,4.24
1115,3ayc,4.24
1116,3cj3,4.24
1117,3uwk,4.24
1118,4f8h,4.24
1119,4fpk,4.24
1120,1juq,4.25
1121,2mji,4.25
1122,3d27,4.25
1123,3u4h,4.25
1124,4lpg,4.25
1125,1u8t,4.26
1126,2l12,4.26
1127,3lk1,4.26
1128,3tdh,4.26
1129,3zmv,4.26
1130,4w9n,4.26
1131,1uyg,4.27
1132,3ijg,4.27
1133,4aoc,4.27
1134,4bhz,4.27
1135,1i5h,4.28
1136,1ml1,4.28
1137,2g96,4.28
1138,2jo9,4.28
1139,2wmr,4.28
1140,3cr4,4.28
1141,3i4a,4.28
1142,3tzd,4.28
1143,4b95,4.28
1144,4fak,4.28
1145,4y2s,4.28
1146,5a6n,4.28
1147,5al1,4.28
1148,1v2m,4.29
1149,3zyh,4.29
1150,4z7q,4.29
1151,1mfg,4.3
1152,1ppw,4.3
1153,1qm4,4.3
1154,1rs2,4.3
1155,1xsc,4.3
1156,2cll,4.3
1157,2pix,4.3
1158,2xnn,4.3
1159,2ylp,4.3
1160,2ylq,4.3
1161,3mta,4.3
1162,3n46,4.3
1163,4cqf,4.3
1164,4iu1,4.3
1165,4kij,4.3
1166,4o24,4.3
1167,4o5g,4.3
1168,4u0a,4.3
1169,4u0b,4.3
1170,4wyz,4.3
1171,1rgk,4.31
1172,2wkt,4.31
1173,2z3z,4.31
1174,3q5u,4.31
1175,3r8z,4.31
1176,3vb4,4.31
1177,3vb7,4.31
1178,3wk8,4.31
1179,4b7z,4.31
1180,4mi6,4.31
1181,4ny3,4.31
1182,4u0c,4.31
1183,4u0d,4.31
1184,1gu3,4.32
1185,2boi,4.32
1186,2x4u,4.32
1187,3c3q,4.32
1188,3nth,4.32
1189,3tpu,4.32
1190,4hco,4.32
1191,2uze,4.33
1192,3aya,4.33
1193,4cc2,4.33
1194,4cc7,4.33
1195,1jyc,4.34
1196,2iv9,4.34
1197,3r5m,4.34
1198,5agi,4.34
1199,1t37,4.35
1200,1zm6,4.35
1201,2rok,4.35
1202,3feg,4.35
1203,4a2a,4.35
1204,4eeh,4.35
1205,4ez3,4.35
1206,4j82,4.35
1207,1n5z,4.36
1208,1wbw,4.36
1209,1we2,4.36
1210,2fys,4.36
1211,3c3o,4.36
1212,3dpc,4.36
1213,3wpn,4.36
1214,4idz,4.36
1215,5alv,4.36
1216,1bug,4.37
1217,2jdy,4.37
1218,2zif,4.37
1219,4clz,4.37
1220,4o3t,4.37
1221,1p7m,4.38
1222,1qvt,4.38
1223,2wmu,4.38
1224,2y4a,4.38
1225,3nfl,4.38
1226,3sc1,4.38
1227,3snb,4.38
1228,4ce1,4.38
1229,5afj,4.38
1230,1uyc,4.39
1231,3c3r,4.39
1232,3snc,4.39
1233,3tll,4.39
1234,4b82,4.39
1235,4bek,4.39
1236,4mdr,4.39
1237,4p4t,4.39
1238,1btn,4.4
1239,1jmq,4.4
1240,1py1,4.4
1241,2vio,4.4
1242,3fn0,4.4
1243,3i5r,4.4
1244,3itu,4.4
1245,3l6x,4.4
1246,3np9,4.4
1247,3unn,4.4
1248,3va4,4.4
1249,3zls,4.4
1250,4b80,4.4
1251,4pl0,4.4
1252,4zh3,4.4
1253,5aer,4.4
1254,5ai6,4.4
1255,6cha,4.4
1256,6rsa,4.4
1257,7kme,4.4
1258,1i8j,4.41
1259,1l6s,4.41
1260,3iqi,4.41
1261,3rqf,4.41
1262,3vb6,4.41
1263,3zqt,4.41
1264,4qn9,4.41
1265,4usi,4.41
1266,5bot,4.41
1267,1h00,4.42
1268,1rsi,4.42
1269,2poq,4.42
1270,2wfg,4.42
1271,3igb,4.42
1272,3p23,4.42
1273,3qvv,4.42
1274,3rtm,4.42
1275,4nrb,4.42
1276,1rgl,4.43
1277,1rst,4.43
1278,2f6v,4.43
1279,2ha0,4.43
1280,3b82,4.43
1281,3pxq,4.43
1282,3r69,4.43
